Log_file,Efficientnet,Batch Size,Reg. Lambda,Optimizer,Data Size,Data Size after augmentation,Resize,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Time Taken (mins),Diff. Loss,Diff. Accuracy
Hyperparameter-Result0,b0,16,0.001,adam,5000,7500,224x224,0.4254388809,0.4783409834,0.8376666903,0.8053333163,4.53,0.05290210247,0.03233337402
Hyperparameter-Result0,b4,16,0.01,adam,5000,7500,320x320,0.5590441227,0.5714894533,0.7456666827,0.7239999771,14.3,0.01244533062,0.02166670561
Hyperparameter-Result0,b5,16,0.001,adam,5000,7500,320x320,0.4242170751,0.4864791632,0.8420000076,0.8140000105,19.22,0.06226208806,0.02799999714
Hyperparameter-Result1,b0,16,0.001,sgd,5000,7500,224x224,0.8484225869,0.8547545671,0.6601666808,0.6393333077,4.51,0.006331980228,0.02083337307
Hyperparameter-Result1,b4,16,0.01,sgd,5000,7500,320x320,2.692301512,2.700411558,0.6529999971,0.6399999857,14.56,0.008110046387,0.01300001144
Hyperparameter-Result1,b5,16,0.001,sgd,5000,7500,320x320,0.8654614091,0.8630453944,0.641166687,0.6480000019,19.23,-0.002416014671,-0.006833314896
Hyperparameter-Result10,b0,8,0.01,adam,5000,7500,224x224,0.5397459269,0.5510306358,0.7475000024,0.7546666861,7.73,0.01128470898,-0.007166683674
Hyperparameter-Result10,b4,8,N/A,adam,5000,7500,320x320,0.3093107939,0.3903650343,0.8673333526,0.8146666884,18.17,0.08105424047,0.05266666412
Hyperparameter-Result10,b5,8,0.01,adam,5000,7500,320x320,0.5678352118,0.5693494678,0.7388333082,0.7419999838,23.52,0.001514256001,-0.003166675568
Hyperparameter-Result11,b0,8,0.01,sgd,5000,7500,224x224,2.345607042,2.338600159,0.6798333526,0.6919999719,7.69,-0.007006883621,-0.0121666193
Hyperparameter-Result11,b4,8,N/A,sgd,5000,7500,320x320,0.6100398898,0.5982516408,0.6738333106,0.6866666675,18.4,-0.01178824902,-0.01283335686
Hyperparameter-Result11,b5,8,0.01,sgd,5000,7500,320x320,2.416486263,2.419341087,0.6656666398,0.6686666608,23.84,0.002854824066,-0.003000020981
Hyperparameter-Result12,b0,8,0.1,adam,5000,7500,224x224,0.6211410165,0.6353288889,0.6828333139,0.6426666379,7.67,0.01418787241,0.04016667604
Hyperparameter-Result12,b4,32,0.01,adam,5000,7500,320x320,0.5532933474,0.5706245899,0.7451666594,0.7266666889,13.6,0.01733124256,0.01849997044
Hyperparameter-Result12,b5,8,0.1,adam,5000,7500,320x320,0.6326742172,0.6435361505,0.6654999852,0.6233333349,23.35,0.01086193323,0.0421666503
Hyperparameter-Result13,b0,8,0.1,sgd,5000,7500,224x224,1.943287611,1.951401711,0.6871666908,0.6499999762,7.74,0.008114099503,0.03716671467
Hyperparameter-Result13,b4,32,0.01,sgd,5000,7500,320x320,2.871443272,2.877774715,0.6328333616,0.6140000224,13.8,0.006331443787,0.01883333921
Hyperparameter-Result13,b5,8,0.1,sgd,5000,7500,320x320,1.990108728,1.989698291,0.6788333058,0.6693333387,23.37,-0.0004104375839,0.009499967098
Hyperparameter-Result14,b0,8,N/A,adam,5000,7500,224x224,0.2869050205,0.3853279948,0.8799999952,0.8360000253,7.53,0.09842297435,0.04399996996
Hyperparameter-Result14,b4,32,0.1,adam,5000,7500,320x320,0.6239674687,0.6341856122,0.6894999743,0.6880000234,13.63,0.01021814346,0.001499950886
Hyperparameter-Result14,b5,8,N/A,adam,5000,7500,320x320,0.2806872427,0.3973290622,0.8821666837,0.8353333473,23.27,0.1166418195,0.04683333635
Hyperparameter-Result15,b0,8,N/A,sgd,5000,7500,224x224,0.6067491174,0.6045055389,0.6825000048,0.6679999828,7.59,-0.002243578434,0.01450002193
Hyperparameter-Result15,b4,32,0.1,sgd,5000,7500,320x320,12.28410053,12.27030754,0.6290000081,0.6039999723,13.76,-0.01379299164,0.02500003576
Hyperparameter-Result15,b5,8,N/A,sgd,5000,7500,320x320,0.6009545326,0.6061843038,0.6813333631,0.676666677,23.74,0.005229771137,0.004666686058
Hyperparameter-Result16,b0,32,0.001,adam,5000,7500,224x224,0.431093663,0.4845795035,0.8374999762,0.8046666384,3.85,0.05348584056,0.03283333778
Hyperparameter-Result16,b4,32,N/A,adam,5000,7500,320x320,0.3430518806,0.4275704622,0.8493333459,0.7926666737,13.55,0.08451858163,0.05666667223
Hyperparameter-Result16,b5,32,0.001,adam,5000,7500,320x320,0.4249374866,0.5288186073,0.8493333459,0.7866666913,18.43,0.1038811207,0.06266665459
Hyperparameter-Result17,b0,32,0.001,sgd,5000,7500,224x224,0.8725372553,0.868822813,0.6331666708,0.6393333077,3.83,-0.003714442253,-0.006166636944
Hyperparameter-Result17,b4,32,N/A,sgd,5000,7500,320x320,0.6446418762,0.6336585879,0.6330000162,0.6439999938,13.75,-0.01098328829,-0.01099997759
Hyperparameter-Result17,b5,32,0.001,sgd,5000,7500,320x320,0.8844470978,0.8863016963,0.6248333454,0.6106666923,18.78,0.001854598522,0.01416665316
Hyperparameter-Result18,b0,32,0.01,adam,5000,7500,224x224,0.5374191999,0.55620718,0.7544999719,0.7480000257,3.77,0.01878798008,0.006499946117
Hyperparameter-Result18,b4,16,0.01,adam,5000,7500,320x320,0.6704999208,0.6785407066,0.6068333387,0.5886666775,12.67,0.008040785789,0.01816666126
Hyperparameter-Result18,b5,32,0.01,adam,5000,7500,320x320,0.5466470122,0.5703654289,0.7540000081,0.7279999852,18.49,0.02371841669,0.02600002289
Hyperparameter-Result19,b0,32,0.01,sgd,5000,7500,224x224,2.811942101,2.81191206,0.627333343,0.6259999871,3.93,-0.00003004074096,0.001333355904
Hyperparameter-Result19,b4,16,0.01,sgd,5000,7500,320x320,0.5153313279,0.5536184311,0.7900000215,0.7586666942,14.36,0.03828710318,0.03133332729
Hyperparameter-Result19,b5,32,0.01,sgd,5000,7500,320x320,2.893568993,2.895927429,0.6188333631,0.602666676,18.81,0.002358436584,0.01616668701
Hyperparameter-Result2,b0,16,0.01,adam,5000,7500,224x224,0.5331834555,0.5485619307,0.7603333592,0.7466666698,4.29,0.01537847519,0.0136666894
Hyperparameter-Result2,b4,16,0.1,adam,5000,7500,320x320,0.6302710772,0.6425986886,0.6704999804,0.6399999857,14.24,0.01232761145,0.03049999475
Hyperparameter-Result2,b5,16,0.01,adam,5000,7500,320x320,0.5507673025,0.5812699199,0.7531666756,0.7273333073,19.18,0.03050261736,0.0258333683
Hyperparameter-Result20,b0,32,0.1,adam,5000,7500,224x224,0.6095112562,0.6162722707,0.7030000091,0.6793333292,3.76,0.006761014462,0.02366667986
Hyperparameter-Result20,b4,16,0.1,adam,5000,7500,320x320,0.6744958162,0.6804037094,0.6000000238,0.5846666694,6.76,0.005907893181,0.01533335447
Hyperparameter-Result20,b5,32,0.1,adam,5000,7500,320x320,0.6167097688,0.638698101,0.6934999824,0.6633333564,18.42,0.02198833227,0.03016662598
Hyperparameter-Result21,b0,32,0.1,sgd,5000,7500,224x224,11.99642563,11.98112583,0.6395000219,0.603333354,3.91,-0.01529979706,0.03616666794
Hyperparameter-Result21,b4,16,0.1,sgd,5000,7500,320x320,0.6177754402,0.6200895905,0.6955000162,0.6999999881,14.08,0.002314150333,-0.004499971867
Hyperparameter-Result21,b5,32,0.1,sgd,5000,7500,320x320,12.36761856,12.35052967,0.6128333211,0.6000000238,18.73,-0.01708889008,0.01283329725
Hyperparameter-Result22,b0,32,N/A,adam,5000,7500,224x224,0.3326671422,0.4156739116,0.8578333259,0.823333323,3.89,0.08300676942,0.03450000286
Hyperparameter-Result22,b4,16,N/A,adam,5000,7500,320x320,0.720516026,0.6798988581,0.5985000134,0.5826666951,7.72,-0.04061716795,0.01583331823
Hyperparameter-Result22,b5,32,N/A,adam,5000,7500,320x320,0.3058226407,0.3908653557,0.8709999919,0.8253333569,18.59,0.08504271507,0.04566663504
Hyperparameter-Result23,b0,32,N/A,sgd,5000,7500,224x224,0.6428906322,0.6413993835,0.6293333173,0.6333333254,3.87,-0.001491248608,-0.004000008106
Hyperparameter-Result23,b4,16,N/A,sgd,5000,7500,320x320,0.3341310322,0.4012776315,0.8516666889,0.8146666884,14.33,0.06714659929,0.03700000048
Hyperparameter-Result23,b5,32,N/A,sgd,5000,7500,320x320,0.6436297297,0.6472951174,0.6278333068,0.6013333201,18.69,0.00366538763,0.02649998665
Hyperparameter-Result24,b0,16,0.001,adam,5000,7500,224x224,0.6730889082,0.6794902682,0.6014999747,0.5866666436,2.12,0.006401360035,0.01483333111
Hyperparameter-Result24,b4,8,0.01,adam,5000,7500,320x320,0.6725926399,0.6769350171,0.6023333073,0.5899999738,13.85,0.004342377186,0.01233333349
Hyperparameter-Result24,b5,16,0.001,adam,5000,7500,320x320,0.6711935401,0.6791375875,0.6065000296,0.5853333473,9.07,0.007944047451,0.02116668224
Hyperparameter-Result25,b0,16,0.001,sgd,5000,7500,224x224,0.4623227119,0.5047621131,0.8339999914,0.8159999847,4.4,0.04243940115,0.01800000668
Hyperparameter-Result25,b4,8,0.01,sgd,5000,7500,320x320,0.5258681774,0.5554640889,0.7748333216,0.7633333206,18.09,0.0295959115,0.01150000095
Hyperparameter-Result25,b5,16,0.001,sgd,5000,7500,320x320,0.4198763072,0.5158292055,0.8603333235,0.8119999766,19.43,0.09595289826,0.04833334684
Hyperparameter-Result26,b0,16,0.01,adam,5000,7500,224x224,0.6709996462,0.6898886561,0.6053333282,0.5833333135,2.16,0.01888900995,0.02200001478
Hyperparameter-Result26,b4,8,0.1,adam,5000,7500,320x320,0.6725928783,0.6781749129,0.601000011,0.5866666436,17.97,0.005582034588,0.01433336735
Hyperparameter-Result26,b5,16,0.01,adam,5000,7500,320x320,0.6720938683,0.6811335683,0.602666676,0.5806666613,18.98,0.009039700031,0.02200001478
Hyperparameter-Result27,b0,16,0.01,sgd,5000,7500,224x224,0.5123419762,0.5671445727,0.7771666646,0.7186666727,4.36,0.05480259657,0.05849999189
Hyperparameter-Result27,b4,8,0.1,sgd,5000,7500,320x320,0.6286843419,0.6404996514,0.6783333421,0.6600000262,18.05,0.01181530952,0.01833331585
Hyperparameter-Result27,b5,16,0.01,sgd,5000,7500,320x320,0.4964620471,0.5531150699,0.7973333597,0.7533333302,19,0.05665302277,0.04400002956
Hyperparameter-Result28,b0,16,0.1,adam,5000,7500,224x224,0.673769474,0.6802550554,0.6011666656,0.5853333473,1.86,0.006485581398,0.01583331823
Hyperparameter-Result28,b4,8,N/A,adam,5000,7500,320x320,0.6742188931,0.7305516601,0.6058333516,0.5846666694,13.71,0.05633276701,0.02116668224
Hyperparameter-Result28,b5,16,0.1,adam,5000,7500,320x320,0.6741499901,0.6898254156,0.6023333073,0.573333323,7.79,0.01567542553,0.02899998426
Hyperparameter-Result29,b0,16,0.1,sgd,5000,7500,224x224,0.6184039116,0.6113948822,0.6921666861,0.7153333426,4.35,-0.007009029388,-0.02316665649
Hyperparameter-Result29,b4,8,N/A,sgd,5000,7500,320x320,0.3130929172,0.4170787036,0.864166677,0.8100000024,18.01,0.1039857864,0.05416667461
Hyperparameter-Result29,b5,16,0.1,sgd,5000,7500,320x320,0.6151137948,0.6205716729,0.701333344,0.6793333292,18.97,0.005457878113,0.02200001478
Hyperparameter-Result3,b0,16,0.01,sgd,5000,7500,224x224,2.637118578,2.648890734,0.6694999933,0.6539999843,4.56,0.01177215576,0.01550000906
Hyperparameter-Result3,b4,16,0.1,sgd,5000,7500,320x320,6.324715614,6.317162037,0.6618333459,0.6413333416,14.51,-0.007553577423,0.02050000429
Hyperparameter-Result3,b5,16,0.01,sgd,5000,7500,320x320,2.717391491,2.718230724,0.6458333135,0.6406666636,19.48,0.0008392333984,0.005166649818
Hyperparameter-Result30,b0,16,N/A,adam,5000,7500,224x224,0.6705608368,0.6765477061,0.6058333516,0.5920000076,3.04,0.005986869335,0.01383334398
Hyperparameter-Result30,b4,32,0.01,adam,5000,7500,320x320,0.6735644341,0.675981462,0.5989999771,0.5926666856,12.82,0.00241702795,0.006333291531
Hyperparameter-Result30,b5,16,N/A,adam,5000,7500,320x320,0.6715823412,0.835934639,0.6069999933,0.5833333135,7.15,0.1643522978,0.02366667986
Hyperparameter-Result31,b0,16,N/A,sgd,5000,7500,224x224,0.3445966244,0.4281507134,0.8529999852,0.8093333244,4.3,0.08355408907,0.04366666079
Hyperparameter-Result31,b4,32,0.01,sgd,5000,7500,320x320,0.5004298687,0.5324480534,0.7990000248,0.7773333192,13.56,0.03201818466,0.02166670561
Hyperparameter-Result31,b5,16,N/A,sgd,5000,7500,320x320,0.3146514595,0.4177743793,0.86650002,0.8106666803,19.16,0.1031229198,0.05583333969
Hyperparameter-Result32,b0,8,0.001,adam,5000,7500,224x224,0.6707407832,0.6834219694,0.6069999933,0.5759999752,5.07,0.0126811862,0.03100001812
Hyperparameter-Result32,b4,32,0.1,adam,5000,7500,320x320,0.6720579267,0.6787071228,0.6031666398,0.5853333473,8.96,0.006649196148,0.01783329248
Hyperparameter-Result32,b5,8,0.001,adam,5000,7500,320x320,0.6707015634,0.6814700961,0.6061666608,0.5766666532,9.55,0.01076853275,0.02950000763
Hyperparameter-Result33,b0,8,0.001,sgd,5000,7500,224x224,0.4218424857,0.4573005438,0.8411666751,0.824000001,7.55,0.03545805812,0.01716667414
Hyperparameter-Result33,b4,32,0.1,sgd,5000,7500,320x320,0.6065496206,0.616635859,0.6936666369,0.6980000138,13.55,0.01008623838,-0.004333376884
Hyperparameter-Result33,b5,8,0.001,sgd,5000,7500,320x320,0.3713194728,0.4541697502,0.875,0.8306666613,23.48,0.08285027742,0.04433333874
Hyperparameter-Result34,b0,8,0.01,adam,5000,7500,224x224,0.672118485,0.6793487072,0.6029999852,0.5866666436,7.12,0.007230222225,0.0163333416
Hyperparameter-Result34,b4,32,N/A,adam,5000,7500,320x320,0.6699243188,0.6813081503,0.6063333154,0.578666687,11.61,0.0113838315,0.02766662836
Hyperparameter-Result34,b5,8,0.01,adam,5000,7500,320x320,0.6689840555,0.690787375,0.6136666536,0.5699999928,8.75,0.02180331945,0.04366666079
Hyperparameter-Result35,b0,8,0.01,sgd,5000,7500,224x224,0.5398121476,0.5543321967,0.7553333044,0.7426666617,7.44,0.0145200491,0.01266664267
Hyperparameter-Result35,b4,32,N/A,sgd,5000,7500,320x320,0.3881780207,0.4260360897,0.8280000091,0.8119999766,13.61,0.03785806894,0.01600003242
Hyperparameter-Result35,b5,8,0.01,sgd,5000,7500,320x320,0.5307118297,0.5437145829,0.7728333473,0.7733333111,23.53,0.01300275326,-0.0004999637604
Hyperparameter-Result36,b0,8,0.1,adam,5000,7500,224x224,0.6704348326,0.6883324981,0.6071666479,0.5633333325,6.52,0.0178976655,0.04383331537
Hyperparameter-Result36,b4,16,0.01,adam,5000,7500,320x320,0.6725538373,0.6749414802,0.6013333201,0.5953333378,7.73,0.00238764286,0.005999982357
Hyperparameter-Result36,b5,8,0.1,adam,5000,7500,320x320,0.6774489284,0.6852645874,0.6036666632,0.5753333569,8.73,0.007815659046,0.02833330631
Hyperparameter-Result37,b0,8,0.1,sgd,5000,7500,224x224,0.6363499165,0.641238749,0.6783333421,0.646666646,7.67,0.004888832569,0.03166669607
Hyperparameter-Result37,b4,16,0.01,sgd,5000,7500,320x320,1.125738382,1.126368284,0.7360000014,0.7319999933,14.42,0.000629901886,0.004000008106
Hyperparameter-Result37,b5,8,0.1,sgd,5000,7500,320x320,0.6348100305,0.6259375811,0.6718333364,0.6999999881,23.38,-0.008872449398,-0.02816665173
Hyperparameter-Result38,b0,8,N/A,adam,5000,7500,224x224,0.6718423367,0.6782884002,0.602666676,0.5860000253,7.47,0.006446063519,0.01666665077
Hyperparameter-Result38,b4,16,0.1,adam,5000,7500,320x320,0.673197329,0.674623251,0.5996666551,0.5960000157,11.01,0.001425921917,0.003666639328
Hyperparameter-Result38,b5,8,N/A,adam,5000,7500,320x320,0.7098758817,0.6780958772,0.6023333073,0.5860000253,19.4,-0.0317800045,0.01633328199
Hyperparameter-Result39,b0,8,N/A,sgd,5000,7500,224x224,0.3283010721,0.4242603481,0.8563333154,0.80400002,7.67,0.09595927596,0.05233329535
Hyperparameter-Result39,b4,16,0.1,sgd,5000,7500,320x320,0.6053968072,0.6161131263,0.703666687,0.725333333,14.33,0.01071631908,-0.021666646
Hyperparameter-Result39,b5,8,N/A,sgd,5000,7500,320x320,0.2844278514,0.4207932651,0.8820000291,0.8226666451,23.51,0.1363654137,0.05933338404
Hyperparameter-Result4,b0,16,0.1,adam,5000,7500,224x224,0.6118177772,0.6155438423,0.6930000186,0.6986666918,4.39,0.003726065159,-0.005666673183
Hyperparameter-Result4,b4,16,N/A,adam,5000,7500,320x320,0.3233081996,0.3908437192,0.8610000014,0.8273333311,14.43,0.0675355196,0.03366667032
Hyperparameter-Result4,b5,16,0.1,adam,5000,7500,320x320,0.6273021102,0.6336437464,0.6729999781,0.6506666541,19.07,0.006341636181,0.02233332396
Hyperparameter-Result40,b0,32,0.001,adam,5000,7500,224x224,0.673027575,0.6792838573,0.6004999876,0.5853333473,3.15,0.00625628233,0.01516664028
Hyperparameter-Result40,b4,16,N/A,adam,5000,7500,320x320,0.4492568374,0.4710388184,0.752333343,0.7653333545,14.18,0.02178198099,-0.01300001144
Hyperparameter-Result40,b5,32,0.001,adam,5000,7500,320x320,0.6704086065,0.6758337021,0.6068333387,0.5939999819,15.74,0.005425095558,0.01283335686
Hyperparameter-Result41,b0,32,0.001,sgd,5000,7500,224x224,0.5302957296,0.5640981793,0.8178333044,0.7973333597,3.85,0.0338024497,0.02049994469
Hyperparameter-Result41,b4,16,N/A,sgd,5000,7500,320x320,0.5406517982,0.5502714515,0.7311666608,0.7279999852,14.35,0.009619653225,0.003166675568
Hyperparameter-Result41,b5,32,0.001,sgd,5000,7500,320x320,0.519916594,0.5774236917,0.8360000253,0.8033333421,18.6,0.05750709772,0.0326666832
Hyperparameter-Result42,b0,32,0.01,adam,5000,7500,224x224,0.6712411046,0.6847984791,0.6048333049,0.574000001,2.71,0.01355737448,0.03083330393
Hyperparameter-Result42,b4,8,0.01,adam,5000,7500,320x320,0.6722362638,0.6771959662,0.6019999981,0.5899999738,16.1,0.004959702492,0.01200002432
Hyperparameter-Result42,b5,32,0.01,adam,5000,7500,320x320,0.6677330136,0.6872909069,0.6129999757,0.5706666708,9.92,0.01955789328,0.04233330488
Hyperparameter-Result43,b0,32,0.01,sgd,5000,7500,224x224,0.5046229362,0.5136449933,0.7838333249,0.7766666412,3.76,0.009022057056,0.007166683674
Hyperparameter-Result43,b4,8,0.01,sgd,5000,7500,320x320,0.6590149999,0.6920844913,0.7659999728,0.7533333302,18.12,0.03306949139,0.01266664267
Hyperparameter-Result43,b5,32,0.01,sgd,5000,7500,320x320,0.4948066473,0.5183846354,0.7966666818,0.7973333597,18.42,0.02357798815,-0.0006666779518
Hyperparameter-Result44,b0,32,0.1,adam,5000,7500,224x224,0.6702859998,0.6811698675,0.6076666713,0.5820000172,2.48,0.01088386774,0.02566665411
Hyperparameter-Result44,b4,8,0.1,adam,5000,7500,320x320,0.6699716449,0.6806511879,0.6071666479,0.5853333473,7.99,0.01067954302,0.02183330059
Hyperparameter-Result44,b5,32,0.1,adam,5000,7500,320x320,0.6718192101,0.6823215485,0.6043333411,0.5766666532,10.48,0.01050233841,0.02766668797
Hyperparameter-Result45,b0,32,0.1,sgd,5000,7500,224x224,0.6053211093,0.6094223261,0.7096666694,0.69599998,3.79,0.004101216793,0.0136666894
Hyperparameter-Result45,b4,8,0.1,sgd,5000,7500,320x320,0.6024787426,0.6069285274,0.7038333416,0.7046666741,18.04,0.004449784756,-0.0008333325386
Hyperparameter-Result45,b5,32,0.1,sgd,5000,7500,320x320,0.6032381058,0.5989899635,0.7106666565,0.7286666632,18.23,-0.004248142242,-0.01800000668
Hyperparameter-Result46,b0,32,N/A,adam,5000,7500,224x224,0.6726065874,0.6846373081,0.6035000086,0.573333323,1.88,0.01203072071,0.03016668558
Hyperparameter-Result46,b4,8,N/A,adam,5000,7500,320x320,0.4737868309,0.4951461852,0.7118333578,0.7333333492,18,0.02135935426,-0.02149999142
Hyperparameter-Result46,b5,32,N/A,adam,5000,7500,320x320,0.6223394871,0.6210787892,0.6660000086,0.6660000086,18.06,-0.001260697842,0
Hyperparameter-Result47,b0,32,N/A,sgd,5000,7500,224x224,0.3897534907,0.4308206439,0.8268333077,0.8153333068,3.81,0.04106715322,0.01150000095
Hyperparameter-Result47,b4,8,N/A,sgd,5000,7500,320x320,0.460472852,0.4876450896,0.7916666865,0.7666666508,18.02,0.02717223763,0.02500003576
Hyperparameter-Result47,b5,32,N/A,sgd,5000,7500,320x320,0.3775939941,0.447286129,0.8336666822,0.7900000215,18.48,0.06969213486,0.04366666079
Hyperparameter-Result48,b0,16,0.001,adam,5000,7500,224x224,0.5477419496,0.5175994635,0.7250000238,0.7626666427,4.41,-0.0301424861,-0.03766661882
Hyperparameter-Result48,b4,32,0.01,adam,5000,7500,320x320,0.6326128244,0.6320721507,0.6063333154,0.5806666613,13.63,-0.0005406737328,0.02566665411
Hyperparameter-Result48,b5,16,0.001,adam,5000,7500,320x320,0.5581178069,0.5366180539,0.6893333197,0.7379999757,19.22,-0.021499753,-0.04866665602
Hyperparameter-Result49,b0,16,0.001,sgd,5000,7500,224x224,0.7205271125,0.724411726,0.749333322,0.7366666794,4.35,0.003884613514,0.01266664267
Hyperparameter-Result49,b4,32,0.01,sgd,5000,7500,320x320,1.74706018,1.737513304,0.7126666903,0.7226666808,13.72,-0.009546875954,-0.009999990463
