Log_file,Efficientnet,Batch Size,Reg. Lambda,Optimizer,Data Size,Data Size after augmentation,Resize,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Time Taken (mins),Diff. Loss,Diff. Accuracy
Hyperparameter-Result49,b5,16,0.001,sgd,5000,7500,320x320,0.7323002219,0.7463617325,0.7419999838,0.7319999933,19.27,0.01406151056,0.009999990463
Hyperparameter-Result5,b0,16,0.1,sgd,5000,7500,224x224,6.185287952,6.162755013,0.6563333273,0.6480000019,4.5,-0.02253293991,0.008333325386
Hyperparameter-Result5,b4,16,N/A,sgd,5000,7500,320x320,0.6245645285,0.6189604998,0.658166647,0.6819999814,14.59,-0.005604028702,-0.02383333445
Hyperparameter-Result5,b5,16,0.1,sgd,5000,7500,320x320,6.377818584,6.359963417,0.6376666427,0.6346666813,19.47,-0.01785516739,0.002999961376
Hyperparameter-Result50,b0,16,0.01,adam,5000,7500,224x224,0.6698704362,0.680249691,0.6076666713,0.5826666951,1.98,0.01037925482,0.02499997616
Hyperparameter-Result50,b4,32,0.1,adam,5000,7500,320x320,0.6675924063,0.6796406507,0.6063333154,0.5780000091,13.54,0.01204824448,0.02833330631
Hyperparameter-Result50,b5,16,0.01,adam,5000,7500,320x320,0.6712978482,0.682251811,0.6044999957,0.578666687,7.82,0.0109539628,0.0258333087
Hyperparameter-Result51,b0,16,0.01,sgd,5000,7500,224x224,1.090051293,1.091151237,0.7453333139,0.7466666698,4.44,0.001099944115,-0.001333355904
Hyperparameter-Result51,b4,32,0.1,sgd,5000,7500,320x320,0.6285398602,0.6407727003,0.6971666813,0.6919999719,13.63,0.01223284006,0.005166709423
Hyperparameter-Result51,b5,16,0.01,sgd,5000,7500,320x320,1.122786403,1.124826908,0.7400000095,0.7400000095,19.5,0.002040505409,0
Hyperparameter-Result52,b0,16,0.1,adam,5000,7500,224x224,0.6621027589,0.6672488451,0.6065000296,0.5839999914,4.32,0.005146086216,0.02250003815
Hyperparameter-Result52,b4,32,N/A,adam,5000,7500,320x320,0.3757490218,0.4517267644,0.8050000072,0.7919999957,13.48,0.07597774267,0.01300001144
Hyperparameter-Result52,b5,16,0.1,adam,5000,7500,320x320,0.671138525,0.6822937131,0.6046666503,0.5780000091,12.09,0.01115518808,0.02666664124
Hyperparameter-Result53,b0,16,0.1,sgd,5000,7500,224x224,0.5941044688,0.6118052602,0.7164999843,0.6933333278,4.4,0.01770079136,0.02316665649
Hyperparameter-Result53,b4,32,N/A,sgd,5000,7500,320x320,0.5648664236,0.5738840103,0.7156666517,0.7080000043,13.46,0.009017586708,0.007666647434
Hyperparameter-Result53,b5,16,0.1,sgd,5000,7500,320x320,0.6085310578,0.6188732386,0.7005000114,0.6873333454,19.28,0.01034218073,0.01316666603
Hyperparameter-Result54,b0,16,N/A,adam,5000,7500,224x224,0.4054045677,0.4293202758,0.7828333378,0.7919999957,4.38,0.02391570807,-0.009166657925
Hyperparameter-Result54,b5,16,N/A,adam,5000,7500,320x320,0.3894653618,0.4699762762,0.7968333364,0.8053333163,19.02,0.08051091433,-0.008499979973
Hyperparameter-Result55,b0,16,N/A,sgd,5000,7500,224x224,0.5153179169,0.516982615,0.7490000129,0.7340000272,4.37,0.001664698124,0.01499998569
Hyperparameter-Result55,b5,16,N/A,sgd,5000,7500,320x320,0.516312778,0.5380580425,0.7490000129,0.7346666455,19.53,0.02174526453,0.01433336735
Hyperparameter-Result56,b0,8,0.001,adam,5000,7500,224x224,0.6210984588,0.5903590322,0.6051666737,0.5893333554,7.75,-0.03073942661,0.01583331823
Hyperparameter-Result56,b5,8,0.001,adam,5000,7500,320x320,0.620605886,0.5898225904,0.6043333411,0.5906666517,23.53,-0.03078329563,0.0136666894
Hyperparameter-Result57,b0,8,0.001,sgd,5000,7500,224x224,0.6467754245,0.6579288244,0.7763333321,0.7753333449,7.51,0.01115339994,0.0009999871254
Hyperparameter-Result57,b5,8,0.001,sgd,5000,7500,320x320,0.6538988948,0.6768366694,0.779333353,0.7753333449,23.86,0.02293777466,0.004000008106
Hyperparameter-Result58,b0,8,0.01,adam,5000,7500,224x224,0.6695686579,0.6818971038,0.6091666818,0.5806666613,2.91,0.01232844591,0.0285000205
Hyperparameter-Result58,b5,8,0.01,adam,5000,7500,320x320,0.6718072891,0.6778171659,0.6035000086,0.5879999995,9.54,0.006009876728,0.01550000906
Hyperparameter-Result59,b0,8,0.01,sgd,5000,7500,224x224,0.640081346,0.6788356304,0.7811666727,0.7433333397,7.63,0.03875428438,0.03783333302
Hyperparameter-Result59,b5,8,0.01,sgd,5000,7500,320x320,0.6458608508,0.6846240759,0.7850000262,0.7513333559,23.82,0.03876322508,0.03366667032
Hyperparameter-Result6,b0,16,N/A,adam,5000,7500,224x224,0.3154823184,0.3950720727,0.8659999967,0.8259999752,4.31,0.07958975434,0.04000002146
Hyperparameter-Result6,b4,8,0.01,adam,5000,7500,320x320,0.5726534724,0.5800273418,0.7170000076,0.7046666741,17.94,0.007373869419,0.01233333349
Hyperparameter-Result6,b5,16,N/A,adam,5000,7500,320x320,0.2794775069,0.4269607067,0.8791666627,0.8153333068,19.13,0.1474831998,0.0638333559
Hyperparameter-Result60,b0,8,0.1,adam,5000,7500,224x224,0.6700347066,0.6783585548,0.6075000167,0.5879999995,4.47,0.008323848248,0.01950001717
Hyperparameter-Result60,b5,8,0.1,adam,5000,7500,320x320,0.6717808247,0.6822246909,0.603333354,0.5793333054,11.11,0.01044386625,0.02400004864
Hyperparameter-Result61,b0,8,0.1,sgd,5000,7500,224x224,0.5914798975,0.6009552479,0.7191666961,0.6973333359,7.47,0.00947535038,0.0218333602
Hyperparameter-Result61,b5,8,0.1,sgd,5000,7500,320x320,0.5949027538,0.6125914454,0.7266666889,0.7046666741,23.42,0.01768869162,0.02200001478
Hyperparameter-Result62,b0,8,N/A,adam,5000,7500,224x224,0.4433297515,0.5005745292,0.7613333464,0.7733333111,7.13,0.05724477768,-0.01199996471
Hyperparameter-Result62,b5,8,N/A,adam,5000,7500,320x320,0.4708776176,0.4919810295,0.7350000143,0.7613333464,23.49,0.02110341191,-0.02633333206
Hyperparameter-Result63,b0,8,N/A,sgd,5000,7500,224x224,0.4724885225,0.4863063991,0.7756666541,0.7753333449,7.54,0.01381787658,0.0003333091736
Hyperparameter-Result63,b5,8,N/A,sgd,5000,7500,320x320,0.4739942551,0.502311945,0.7761666775,0.7693333626,23.37,0.0283176899,0.006833314896
Hyperparameter-Result64,b0,32,0.001,adam,5000,7500,224x224,0.5358062983,0.5332369208,0.7251666784,0.7480000257,3.83,-0.002569377422,-0.02283334732
Hyperparameter-Result64,b5,32,0.001,adam,5000,7500,320x320,0.544044733,0.527212739,0.7369999886,0.7666666508,18.27,-0.01683199406,-0.02966666222
Hyperparameter-Result65,b0,32,0.001,sgd,5000,7500,224x224,0.7704728842,0.7698939443,0.7216666937,0.7066666484,3.91,-0.0005789399147,0.0150000453
Hyperparameter-Result65,b5,32,0.001,sgd,5000,7500,320x320,0.7907851338,0.8020327687,0.7083333135,0.7026666403,18.8,0.01124763489,0.005666673183
Hyperparameter-Result66,b0,32,0.01,adam,5000,7500,224x224,0.6381646395,0.6345992684,0.6035000086,0.573333323,3.91,-0.003565371037,0.03016668558
Hyperparameter-Result66,b5,32,0.01,adam,5000,7500,320x320,0.648591578,0.6304284334,0.6564999819,0.6679999828,18.36,-0.01816314459,-0.01150000095
Hyperparameter-Result67,b0,32,0.01,sgd,5000,7500,224x224,1.69788146,1.707197547,0.7196666598,0.7160000205,3.96,0.009316086769,0.003666639328
Hyperparameter-Result67,b5,32,0.01,sgd,5000,7500,320x320,1.744949341,1.761109352,0.7026666403,0.6980000138,18.76,0.01616001129,0.004666626453
Hyperparameter-Result68,b0,32,0.1,adam,5000,7500,224x224,0.6531763673,0.6542497277,0.6078333259,0.5820000172,3.68,0.001073360443,0.0258333087
Hyperparameter-Result68,b5,32,0.1,adam,5000,7500,320x320,0.6696267724,0.6806373,0.6081666946,0.5826666951,11.88,0.01101052761,0.02549999952
Hyperparameter-Result69,b0,32,0.1,sgd,5000,7500,224x224,0.6226078868,0.6362437606,0.7138333321,0.6973333359,3.97,0.01363587379,0.01649999619
Hyperparameter-Result69,b5,32,0.1,sgd,5000,7500,320x320,0.6365668178,0.6318873167,0.6873333454,0.6973333359,18.71,-0.004679501057,-0.009999990463
Hyperparameter-Result7,b0,16,N/A,sgd,5000,7500,224x224,0.6255249977,0.6241528988,0.6498333216,0.6539999843,4.4,-0.001372098923,-0.004166662693
Hyperparameter-Result7,b4,8,0.01,sgd,5000,7500,320x320,2.40078783,2.395896673,0.6644999981,0.6733333468,18.36,-0.00489115715,-0.008833348751
Hyperparameter-Result7,b5,16,N/A,sgd,5000,7500,320x320,0.6255228519,0.6344749331,0.6539999843,0.6326666474,19.48,0.008952081203,0.02133333683
Hyperparameter-Result70,b0,32,N/A,adam,5000,7500,224x224,0.3903547227,0.469963342,0.7843333483,0.7926666737,3.83,0.07960861921,-0.008333325386
Hyperparameter-Result70,b5,32,N/A,adam,5000,7500,320x320,0.3666300774,0.4672617614,0.823333323,0.8059999943,18.47,0.1006316841,0.01733332872
Hyperparameter-Result71,b0,32,N/A,sgd,5000,7500,224x224,0.5587669015,0.5734531879,0.7160000205,0.7026666403,3.79,0.01468628645,0.01333338022
Hyperparameter-Result71,b5,32,N/A,sgd,5000,7500,320x320,0.5675598979,0.5828845501,0.7059999704,0.69599998,18.75,0.01532465219,0.009999990463
Hyperparameter-Result8,b0,8,0.001,adam,5000,7500,224x224,0.4407192767,0.4761315882,0.8215000033,0.8046666384,7.79,0.03541231155,0.01683336496
Hyperparameter-Result8,b4,8,0.1,adam,5000,7500,320x320,0.6357352734,0.6502064466,0.6501666903,0.6046666503,18.02,0.01447117329,0.04550004005
Hyperparameter-Result8,b5,8,0.001,adam,5000,7500,320x320,0.4304733872,0.5091776252,0.837166667,0.779333353,23.6,0.07870423794,0.05783331394
Hyperparameter-Result9,b0,8,0.001,sgd,5000,7500,224x224,0.8275265098,0.825288415,0.6819999814,0.676666677,7.73,-0.002238094807,0.005333304405
Hyperparameter-Result9,b4,8,0.1,sgd,5000,7500,320x320,1.977615118,1.983919382,0.6796666384,0.6673333049,18.39,0.006304264069,0.01233333349
Hyperparameter-Result9,b5,8,0.001,sgd,5000,7500,320x320,0.8447007537,0.8466687202,0.6710000038,0.6600000262,23.93,0.001967966557,0.01099997759
Hyperparameter-Result31,b7,16,N/A,sgd,5000,7500,520x520,0.3418854475,0.4064528942,0.8516666889,0.8100000024,81,0.06456744671,0.04166668653
Hyperparameter-Result37,b7,8,0.1,sgd,5000,7500,520x520,0.6227706671,0.6298843622,0.6848333478,0.6919999719,84.47,0.007113695145,-0.007166624069
Hyperparameter-Result29,b7,16,0.1,sgd,5000,7500,520x520,0.6036818624,0.6068574786,0.7139999866,0.700666666,80.3,0.003175616264,0.01333332062
Hyperparameter-Result28,b7,16,0.1,adam,5000,7500,520x520,0.6759307981,0.6854148507,0.6001666784,0.5820000172,32.5,0.009484052658,0.01816666126
Hyperparameter-Result71,b7,32,N/A,sgd,5000,7500,520x520,0.5572070479,0.5649999976,0.7146666646,0.7133333087,82.48,0.007792949677,0.001333355904
Hyperparameter-Result69,b7,32,0.1,sgd,5000,7500,520x520,0.6233667135,0.6313366294,0.7049999833,0.6906666756,81.74,0.007969915867,0.01433330774
Hyperparameter-Result66,b7,32,0.01,adam,5000,7500,520x520,0.6731336713,0.6727429628,0.5998333097,0.6006666422,38.51,-0.0003907084465,-0.0008333325386
Hyperparameter-Result15,b7,8,N/A,sgd,5000,7500,520x520,0.5929252505,0.5916539431,0.6908333302,0.6880000234,85.13,-0.001271307468,0.002833306789
Hyperparameter-Result45,b7,32,0.1,sgd,5000,7500,520x520,0.5952720046,0.6081054807,0.715166688,0.7133333087,81.07,0.01283347607,0.001833379269
Hyperparameter-Result1,b7,16,0.001,sgd,5000,7500,520x520,0.8529952765,0.8476372957,0.6740000248,0.6906666756,81.33,-0.005357980728,-0.01666665077
Hyperparameter-Result19,b7,32,0.01,sgd,5000,7500,520x520,2.905460596,2.906546831,0.6409999728,0.6206666827,82.43,0.001086235046,0.0203332901
Hyperparameter-Result10,b7,8,0.01,adam,5000,7500,520x520,0.5598631501,0.5585601926,0.7393333316,0.7400000095,84.22,-0.001302957535,-0.0006666779518
Hyperparameter-Result62,b7,8,N/A,adam,5000,7500,520x520,0.4477172494,0.4479519725,0.7763333321,0.7773333192,84.01,0.0002347230911,-0.0009999871254
Hyperparameter-Result0,b7,16,0.001,adam,5000,7500,520x520,0.4584912658,0.4766975939,0.8151666522,0.7973333597,80.66,0.01820632815,0.01783329248
Hyperparameter-Result67,b7,32,0.01,sgd,5000,7500,520x520,1.750663042,1.743676424,0.7254999876,0.7220000029,82.67,-0.006986618042,0.003499984741
Hyperparameter-Result26,b7,16,0.01,adam,5000,7500,520x520,0.6716569662,0.6775313616,0.6039999723,0.5913333297,58.9,0.00587439537,0.01266664267
Hyperparameter-Result58,b7,8,0.01,adam,5000,7500,520x520,0.6738561392,0.6771830916,0.5983333588,0.5893333554,45.09,0.003326952457,0.009000003338
Hyperparameter-Result36,b7,8,0.1,adam,5000,7500,520x520,0.6788833141,0.6809269786,0.6051666737,0.5906666517,31.27,0.002043664455,0.01450002193
Hyperparameter-Result25,b7,16,0.001,sgd,5000,7500,520x520,0.4421933889,0.4912292957,0.8508333564,0.8140000105,80.81,0.04903590679,0.03683334589
Hyperparameter-Result52,b7,16,0.1,adam,5000,7500,520x520,0.673073709,0.6802539229,0.6000000238,0.5820000172,59.1,0.007180213928,0.01800000668
Hyperparameter-Result61,b7,8,0.1,sgd,5000,7500,520x520,0.592253387,0.6005567908,0.7275000215,0.7193333507,84.32,0.008303403854,0.008166670799
Hyperparameter-Result47,b7,32,N/A,sgd,5000,7500,520x520,0.386067152,0.4282259941,0.8206666708,0.8086666465,81.85,0.04215884209,0.01200002432
Hyperparameter-Result24,b7,16,0.001,adam,5000,7500,520x520,0.6719402671,0.6788659692,0.6035000086,0.5879999995,61.59,0.006925702095,0.01550000906
Hyperparameter-Result7,b7,16,N/A,sgd,5000,7500,520x520,0.6126049161,0.6273505092,0.6700000167,0.647333324,81.13,0.01474559307,0.02266669273
Hyperparameter-Result30,b7,16,N/A,adam,5000,7500,520x520,0.6727089882,0.7233543992,0.6011666656,0.5886666775,48.33,0.05064541101,0.01249998808
Hyperparameter-Result63,b7,8,N/A,sgd,5000,7500,520x520,0.4573563635,0.4866677523,0.7914999723,0.7720000148,84.9,0.02931138873,0.01949995756
Hyperparameter-Result13,b7,8,0.1,sgd,5000,7500,520x520,2.009768248,2.017689705,0.6769999862,0.6586666703,85.17,0.007921457291,0.01833331585
Hyperparameter-Result18,b7,32,0.01,adam,5000,7500,520x520,0.5565230846,0.5454691052,0.7496666908,0.7553333044,82.4,-0.0110539794,-0.005666613579
Hyperparameter-Result64,b7,32,0.001,adam,5000,7500,520x520,0.585303247,0.5565069318,0.6719999909,0.7673333287,82.15,-0.02879631519,-0.09533333778
Hyperparameter-Result27,b7,16,0.01,sgd,5000,7500,520x520,0.5106050968,0.5231180787,0.7781666517,0.7666666508,80.46,0.01251298189,0.01150000095
Hyperparameter-Result40,b7,32,0.001,adam,5000,7500,520x520,0.6738571525,0.6822527051,0.5993333459,0.5780000091,46.71,0.008395552635,0.02133333683
Hyperparameter-Result32,b7,8,0.001,adam,5000,7500,520x520,0.6720502377,0.68326056,0.6041666865,0.5813333392,42.52,0.01121032238,0.02283334732
Hyperparameter-Result16,b7,32,0.001,adam,5000,7500,520x520,0.4550412893,0.4750748277,0.8111666441,0.8093333244,82.22,0.02003353834,0.001833319664
Hyperparameter-Result65,b7,32,0.001,sgd,5000,7500,520x520,0.7794616818,0.7742574811,0.7266666889,0.7313333154,82.55,-0.005204200745,-0.004666626453
Hyperparameter-Result38,b7,8,N/A,adam,5000,7500,520x520,0.6707596183,0.6838859916,0.6058333516,0.5820000172,53.61,0.01312637329,0.02383333445
Hyperparameter-Result54,b7,16,N/A,adam,5000,7500,520x520,0.4039572775,0.43406564,0.7888333201,0.7853333354,80.5,0.03010836244,0.003499984741
Hyperparameter-Result42,b7,32,0.01,adam,5000,7500,520x520,0.6698842049,0.6860275865,0.6078333259,0.5686666369,62.27,0.0161433816,0.03916668892
Hyperparameter-Result9,b7,8,0.001,sgd,5000,7500,520x520,0.8195348382,0.8312979341,0.6993333101,0.6953333616,85.22,0.01176309586,0.003999948502
Hyperparameter-Result6,b7,16,N/A,adam,5000,7500,520x520,0.3142163754,0.4057565629,0.8643333316,0.8199999928,80.71,0.0915401876,0.04433333874
Hyperparameter-Result39,b7,8,N/A,sgd,5000,7500,520x520,0.3044141531,0.3601252437,0.864166677,0.8386666775,84.87,0.05571109056,0.02549999952
Hyperparameter-Result34,b7,8,0.01,adam,5000,7500,520x520,0.6729527116,0.6848649979,0.6016666889,0.5726666451,50.87,0.01191228628,0.02900004387
Hyperparameter-Result17,b7,32,0.001,sgd,5000,7500,520x520,0.8820385933,0.8824638128,0.6363333464,0.6326666474,82.64,0.0004252195358,0.003666698933
Hyperparameter-Result44,b7,32,0.1,adam,5000,7500,520x520,0.672496438,0.6769775748,0.6025000215,0.5920000076,35.8,0.004481136799,0.01050001383
Hyperparameter-Result20,b7,32,0.1,adam,5000,7500,520x520,0.6215285659,0.6249237657,0.6970000267,0.6866666675,81.86,0.003395199776,0.01033335924
Hyperparameter-Result70,b7,32,N/A,adam,5000,7500,520x520,0.3931280077,0.40598315,0.7860000134,0.8026666641,82.13,0.01285514235,-0.01666665077
Hyperparameter-Result57,b7,8,0.001,sgd,5000,7500,520x520,0.6458666325,0.6780124903,0.784833312,0.7753333449,84.96,0.03214585781,0.009499967098
Hyperparameter-Result14,b7,8,N/A,adam,5000,7500,520x520,0.3208244741,0.3846210241,0.8551666737,0.8220000267,84.73,0.06379655004,0.03316664696
Hyperparameter-Result41,b7,32,0.001,sgd,5000,7500,520x520,0.5264627934,0.5747850537,0.8278333545,0.7900000215,82.46,0.04832226038,0.03783333302
Hyperparameter-Result21,b7,32,0.1,sgd,5000,7500,520x520,12.52246761,12.50033474,0.6403333545,0.6406666636,82.73,-0.02213287354,-0.0003333091736
Hyperparameter-Result8,b7,8,0.001,adam,5000,7500,520x520,0.4726846218,0.477057457,0.8026666641,0.7953333259,84.67,0.004372835159,0.007333338261
Hyperparameter-Result56,b7,8,0.001,adam,5000,7500,520x520,0.6727808714,0.6826202273,0.6008333564,0.5759999752,45.09,0.009839355946,0.02483338118
Hyperparameter-Result55,b7,16,N/A,sgd,5000,7500,520x520,0.5124714971,0.5122210383,0.7440000176,0.7513333559,80.77,-0.0002504587173,-0.007333338261
Hyperparameter-Result48,b7,16,0.001,adam,5000,7500,520x520,0.5927981734,0.5733864903,0.6636666656,0.7533333302,80.33,-0.01941168308,-0.0896666646
Hyperparameter-Result23,b7,32,N/A,sgd,5000,7500,520x520,0.6364447474,0.6268764734,0.6501666903,0.6613333225,82.04,-0.009568274021,-0.01116663218
Hyperparameter-Result3,b7,16,0.01,sgd,5000,7500,520x520,2.726621628,2.730237722,0.6754999757,0.6679999828,81.03,0.003616094589,0.007499992847
Hyperparameter-Result49,b7,16,0.001,sgd,5000,7500,520x520,0.7243283987,0.733962059,0.7549999952,0.7419999838,80.56,0.009633660316,0.01300001144
Hyperparameter-Result2,b7,16,0.01,adam,5000,7500,520x520,0.5521671176,0.567414403,0.7478333116,0.7273333073,80.54,0.01524728537,0.02050000429
Hyperparameter-Result60,b7,8,0.1,adam,5000,7500,520x520,0.6735940576,0.6751419902,0.5986666679,0.5946666598,81.38,0.001547932625,0.004000008106
Hyperparameter-Result59,b7,8,0.01,sgd,5000,7500,520x520,0.6537256241,0.6646206379,0.7756666541,0.7653333545,85.21,0.01089501381,0.01033329964
Hyperparameter-Result43,b7,32,0.01,sgd,5000,7500,520x520,0.5008645654,0.5363278389,0.7835000157,0.7706666589,81.1,0.03546327353,0.01283335686
Hyperparameter-Result51,b7,16,0.01,sgd,5000,7500,520x520,1.111846805,1.125998735,0.7616666555,0.7386666536,81.24,0.01415193081,0.02300000191
Hyperparameter-Result33,b7,8,0.001,sgd,5000,7500,520x520,0.4005692005,0.4738377333,0.8563333154,0.80400002,84.83,0.07326853275,0.05233329535
Hyperparameter-Result50,b7,16,0.01,adam,5000,7500,520x520,0.6716265082,0.6797938943,0.6036666632,0.5839999914,40.42,0.008167386055,0.01966667175
Hyperparameter-Result4,b7,16,0.1,adam,5000,7500,520x520,0.6283929348,0.6361474991,0.6800000072,0.6546666622,80.55,0.007754564285,0.02533334494
Hyperparameter-Result11,b7,8,0.01,sgd,5000,7500,520x520,2.424716234,2.432495117,0.6938333511,0.6793333292,85.39,0.00777888298,0.01450002193
Hyperparameter-Result5,b7,16,0.1,sgd,5000,7500,520x520,6.448206902,6.431920052,0.665166676,0.6560000181,81.15,-0.01628684998,0.009166657925
Hyperparameter-Result68,b7,32,0.1,adam,5000,7500,520x520,0.6718008518,0.6777071953,0.6031666398,0.5886666775,49.4,0.00590634346,0.01449996233
Hyperparameter-Result53,b7,16,0.1,sgd,5000,7500,520x520,0.596917212,0.5999965072,0.7185000181,0.7073333263,80.56,0.003079295158,0.01116669178
Hyperparameter-Result22,b7,32,N/A,adam,5000,7500,520x520,0.3421225548,0.4261560738,0.8518333435,0.8046666384,82.49,0.08403351903,0.04716670513
Hyperparameter-Result12,b7,8,0.1,adam,5000,7500,520x520,0.6327257752,0.6287411451,0.6676666737,0.6493333578,84.54,-0.003984630108,0.01833331585
Hyperparameter-Result35,b7,8,0.01,sgd,5000,7500,520x520,0.520283103,0.5578747392,0.7778333426,0.7566666603,84.42,0.03759163618,0.02116668224
Hyperparameter-Result46,b7,32,N/A,adam,5000,7500,520x520,0.6790138483,0.6777927876,0.6014999747,0.5893333554,38.43,-0.001221060753,0.0121666193